domain;category;type
Oeffentlicher Raum;Automaten;Sonstige Automaten
Mobilitaet;OEPNV;Fahrscheinautomat
Mobilitaet;Individual;Parkticketautomat
Oeffentlicher Raum;Automaten;Kotbeutelautomat
Oeffentlicher Raum;Automaten;Zigarettenautomat
Oeffentlicher Raum;Automaten;Suessigkeitenautomat
Oeffentlicher Raum;Briefe und Pakete;Briefmarkenautomat
Oeffentlicher Raum;Automaten;Kondomautomat
Oeffentlicher Raum;Automaten;Getraenke und Suessigkeitenautomat
Oeffentlicher Raum;Automaten;Getraenkeautomat
Oeffentlicher Raum;Sonstiges;Grillplatz
Oeffentlicher Raum;Recycling;Glascontainer
Oeffentlicher Raum;Recycling;Glas- und Kleidungscontainer
Oeffentlicher Raum;Recycling;Kleidungscontainer
Oeffentlicher Raum;Recycling;Sonstige Container
Gastronomie;Restaurant;Restaurant Italiener
Gastronomie;Restaurant;Restaurant Deutsch
Gastronomie;Restaurant;Restaurant Indisch
Gastronomie;Restaurant;Restaurant Asiatisch
Gastronomie;Restaurant;Restaurant Sushi
Gastronomie;Restaurant;Restaurant Griechisch
Gastronomie;Restaurant;Restaurant Steakhouse
Gastronomie;Restaurant;Restaurant International
Gastronomie;Restaurant;Restaurant Tuerkisch
Gastronomie;Fast Food;Fastfood Kebap
Gastronomie;Fast Food;Fastfood Burger
Gastronomie;Fast Food;Fastfood Asiatisch
Gastronomie;Fast Food;Fastfood Pizza
Gastronomie;Fast Food;Fastfood Pommesbude
Gastronomie;Fast Food;fast_food Sonstiges
Gastronomie;Restaurant;restaurant Sonstiges
Dienstleistung;Friseur;Friseur
Waren;Essen & Trinken;Baeckerei
Waren;Kleidung;Kleidung
Waren;Essen & Trinken;Supermarkt
Waren;Essen & Trinken;Kiosk
Waren;Sonstige Waren;Florist
Waren;Werkstatt;Fahrrad
Dienstleistung;Kosmetik und Beauty;Kosmetik und Beauty
Waren;Medical;Optiker
Waren;Kleidung;Schuhe
Waren;Print;Buecher
Dienstleistung;Massage;Massage
Waren;Sonstige Waren;Schmuck
Waren;Werkstatt;Autoreperatur
Waren;Drogerie;Drogerie
Dienstleistung;Reisen;Reisen
Waren;Technik;Mobilfunk
Waren;Sonstige Waren;Moebel
Waren;Essen & Trinken;Getraenke
Waren;Essen & Trinken;Feinkost
Waren;Technik;Elektronik
Waren;Kleidung;Boutique
Waren;Werkstatt;Autohaus
Waren;Essen & Trinken;Spirituosen
Waren;Spielzeug & Geschenke;Geschenke
Waren;Sonstige Waren;Postenmarkt
Waren;Essen & Trinken;Schlachter
Dienstleistung;Waescherei;Waescherei
Waren;Sonstige Waren;Computer
Waren;Spielzeug & Geschenke;Spielzeug
Waren;Print;Copyshop
Waren;Kleidung;Schneider
Waren;Kunst;Foto
Waren;Kunst;Kunst
Waren;Essen & Trinken;Suessigkeiten
Waren;Sonstige Waren;Dekoration
Dienstleistung;Waescherei;Reinigung
Dienstleistung;Beerdigung;Beerdigung
Waren;Kleidung;Sport
Waren;Sonstige Waren;Zoofachgeschaeft
Waren;Sonstige Waren;Textilgeschaeft
Waren;Medical;Hoergeraete
Waren;Handwerk;Baumarkt
Leerstand;Leerstand;Leerstand
Waren;Medical;Medical
Waren;Kleidung;Second Hand
Waren;Print;Zeitung
Waren;Handwerk;Eisenwarenhandlung
Waren;Sonstiger Shop;Sonstiger Shop
Tourismus;Sehenswuerdigkeit;Baudenkmal
Mobilitaet;OEPNV;Haltestelle
Oeffentlicher Raum;Sonstiges Gebaeude;Sonstiges Gebaeude
Oeffentlicher Raum;Sonstiges Gelaende;Sonstiges Gelaende
Tourismus;Sehenswuerdigkeit;Sonstiges Denkmal
Tourismus;Sonstiges Tourismus;Sonstiges Tourismus
Sport und Erholung;Sport;Sonstiges Sport
Sport und Erholung;Erholung;Sonstiges Erholung
